"Id","Title","Experiment   or Case ID","Lat","Long","Team","No. Floors","First Floor Area [m^2]","Second Floor Area [m^2]","Total Floor Area [m^2]","First Floor Column Area [m^2]","Second Floor Column Area [m^2]","First Floor Concrete Wall Area NS [m^2]","Second Floor Concrete Wall Area NS [m^2]","First Floor Concrete Wall Area EW [m^2]","Second Floor Concrete Wall Area EW [m^2]","First Floor Masonry Wall Area NS [m^2]","Second Floor Masonry Wall Area NS [m^2]","First Floor Masonry Wall Area EW [m^2]","Second Floor Masonry Wall Area EW [m^2]","Structural Damage [L= Light, M=Moderate, S=Severe, C=Collapse]","Masonry Wall Damage [L= Light, M=Moderate, S=Severe]","Captive Columns [1=Yes, 0=No]","Column Index, CI [%]","Wall Index, WI [%]","Priority Index, PI [%]","Report(s)","Data","Photos, Videos, etc.","Drawings/Diagrams",
"94709","Building next to Zhouzheng District Office","B20","23.05694444","120.4090278","B","2","153","195","348","1.6","","0","","0","","5.5","","2.8","","N","L","0","0.23","0.08","0.31","","","View 65 media","View 1 drawing(s)",
"94710","Nanhua District Market","B21","23.04227778","120.47775","B","2","508","508","1016","2.5","","0","","0","","0","","1.6","","S","S","1","0.12","0.00","0.12","","","View 61 media","View 1 drawing(s)",
"94711","Nanhua Police Station","B22","23.04244444","120.47725","B","2","240","185","425","4.2","","0","","0","","7.1","","3.7","","L","L","1","0.49","0.09","0.58","","","View 11 media","View 1 drawing(s)",
"94712","Sinhua District office","B23","23.03855556","120.3109444","B","3","974","974","2923","21.1","","","","","","14.4","","10.9","","N","N","","0.36","0.04","0.40","","","View 70 media","View 1 drawing(s)",
"94713","Yongkang District office","B24","23.02619444","120.2569444","B","3","540","540","1900","12.2","","3.7","","3.9","","","","","","N","N","","0.32","0.20","0.52","","","View 88 media","View 1 drawing(s)",
"94714","Yonkang Elementary School NW Retrofit Building","B25","23.02644444","120.2564167","B","2","183","242","425","5.2","","0.7","","0","","0.7","","2.1","","N","N","1","0.61","0.05","0.65","","","View 44 media","View 1 drawing(s)",
"94715","Yujing Residential Building","C03","23.11933333","120.46725","C","3","110","110","385","1.8","1.8","3.4","6","0.9","0.9","0","","0","","M","M","0","0.23","0.23","0.46","","","View 136 media","View 98 drawing(s)",
"94716","Yujing Residential Building","C04","23.11941667","120.4680833","C","2","362","299","811","2.4","2.4","0","","0","","9.7","5.8","6.8","5","S","S","0","0.15","0.08","0.23","","","View 190 media","View 55 drawing(s)",
"94717","Yujing Vocational School Teaching Building","C05","23.12086111","120.4603611","C","5","750","750","3750","8","8","9.8","9.8","6.5","7","0","0","0","0","L","","1","0.11","0.17","0.28","","","View 178 media","View 173 drawing(s)",
"94718","Yujing Vocational Business School","C06","23.12080556","120.4599167","C","3","366","","1098","4.3","4.3","4.5","4.5","6.3","6","6.8","6.8","1.4","1.4","L","L","1","0.20","0.47","0.67","","","View 272 media","View 27 drawing(s)",
"94719","Yujing Vocational School - Library","C07","23.12136111","120.4600278","C","3","241","274","769","4.2","4.2","3.4","3.4","2.5","2.5","6.2","6.2","2","2","N","L","1","0.27","0.35","0.62","","","View 135 media","View 3 drawing(s)",
"94720","Yujing Vocational School - Dormitory","C08","23.12113889","120.4611389","C","3","458","458","1583","9.8","9.8","0","0","2.2","2.2","18.3","18.3","1.6","1.6","M","L","1","0.31","0.12","0.43","","","View 302 media","View 12 drawing(s)",
"94721","Apartment across from District Office Building","C09","23.10352778","120.3526111","C","3","400","415","1127","3.3","3.3","0","","0","","22.7","22.7","6.8","6.8","N","L","1","0.15","0.06","0.21","","","View 77 media","View 1 drawing(s)",
"94722","Shanshang Elementary School / Infermery","C10","23.10072222","120.3556111","C","2","450","490","940","4.5","4.3","0","0","1.3","1.3","11.3","11.3","5.4","5.4","N","L","1","0.24","0.12","0.36","","","View 93 media","View 14 drawing(s)",
"94723","Yellow Building in ShanShang District (Near CHN03)","C11","23.07938889","120.3685278","C","2","87","100","187","1.2","1.2","0","","0","","3.7","3.7","3.1","3.1","N","N","0","0.33","0.17","0.49","","","View 53 media","View 14 drawing(s)",
"94724","Apartment Building in ShanShang District (Near CHN03)","C12","23.07363889","120.3684167","C","2","560","550","1193","5.2","5.2","","","","","23","23","5.1","5.1","N","M","0","0.22","0.04","0.26","","","View 52 media","View 67 drawing(s)",
"94725","Guiren District Office Building","C13","22.96725","120.2941667","C","3","487","518","1676","6.6","","0","","3.5","","7","","1","","L","L","1","0.20","0.04","0.24","","","View 132 media","",
"94726","Guiren Clothing Store","C14","22.96725","120.2941667","C","5","112","126","616","2.3","","0","","0","","0","","0","","S","S","0","0.18","0.00","0.18","","","View 128 media","View 3 drawing(s)",
"94727","Guiren Bean and Rice Store","C15","22.96663889","120.2968056","C","4","49","49","208","1.9","","0","","0","","2","5","0.2","0.7","L","M","1","0.46","0.01","0.47","","","View 87 media","View 3 drawing(s)",
"94728","Residential Unit Guiren","C16","22.97094444","120.2871389","C","2","246","246","616","2.2","","0","","0","","11","16","2","3.6","N","N","0","0.18","0.03","0.21","","","View 44 media","View 63 drawing(s)",
"94729","Guiren Mechanic Shop","C17","22.96405556","120.29675","C","3","145","177","543","2.5","2.5","0","","0","","9.8","6.5","1.1","2","S","L","0","0.23","0.02","0.25","","","View 56 media","View 1 drawing(s)",
